Neuron1,Neuron2,Type1,Type2,IndexSending,IndexReceiving
URAVR,RIGR,flp-21,npr-1,57,178
URADL,RIVL,flp-21,npr-1,29,100
URADL,RIVR,flp-21,npr-1,29,125
URADR,RIVL,flp-21,npr-1,38,100
URADR,RIVR,flp-21,npr-1,38,125
URAVL,RIVL,flp-21,npr-1,48,100
URAVL,RIVR,flp-21,npr-1,48,125
URAVR,RIVL,flp-21,npr-1,57,100
URAVR,RIVR,flp-21,npr-1,57,125
URADL,RMGL,flp-21,npr-1,29,179
URADL,RMGR,flp-21,npr-1,29,180
URADR,RMGL,flp-21,npr-1,38,179
URADR,RMGR,flp-21,npr-1,38,180
URAVL,RMGL,flp-21,npr-1,48,179
URAVL,RMGR,flp-21,npr-1,48,180
URAVR,RMGL,flp-21,npr-1,57,179
URAVR,RMGR,flp-21,npr-1,57,180
URADL,SAADL,flp-21,npr-1,29,103
URADR,SAADL,flp-21,npr-1,38,103
URAVL,SAADL,flp-21,npr-1,48,103
URAVR,SAADL,flp-21,npr-1,57,103
URADL,SAADR,flp-21,npr-1,29,104
URADR,SAADR,flp-21,npr-1,38,104
URAVL,SAADR,flp-21,npr-1,48,104
URAVR,SAADR,flp-21,npr-1,57,104
URADL,SDQL,flp-21,npr-1,29,246
URADL,SDQR,flp-21,npr-1,29,199
URADR,SDQL,flp-21,npr-1,38,246
URADR,SDQR,flp-21,npr-1,38,199
URAVL,SDQL,flp-21,npr-1,48,246
URAVL,SDQR,flp-21,npr-1,48,199
URAVR,SDQL,flp-21,npr-1,57,246
URAVR,SDQR,flp-21,npr-1,57,199
URADL,SMBDL,flp-21,npr-1,29,132
URADR,SMBDL,flp-21,npr-1,38,132
URAVL,SMBDL,flp-21,npr-1,48,132
URAVR,SMBDL,flp-21,npr-1,57,132
URADL,SMBDR,flp-21,npr-1,29,153
URADR,SMBDR,flp-21,npr-1,38,153
URAVL,SMBDR,flp-21,npr-1,48,153
URAVR,SMBDR,flp-21,npr-1,57,153
URADL,URXL,flp-21,npr-1,29,66
URADL,URXR,flp-21,npr-1,29,82
URADR,URXL,flp-21,npr-1,38,66
URADR,URXR,flp-21,npr-1,38,82
URAVL,URXL,flp-21,npr-1,48,66
